"play_id","session_id","content_id","skipped","seconds_played"
"P00000087","SS00000030","C026231","",1057
"P00000088","SS00000031","C030401","",220
"P00000089","SS00000031","C021034","",1625
"P00000090","SS00000031","C005722","",899
"P00000091","SS00000031","C005829",1,27
"P00000092","SS00000032","C015697","",206
"P00000093","SS00000032","C025732",1,19
"P00000094","SS00000033","C031373",1,42
"P00000095","SS00000033","C007744",1,44
"P00000096","SS00000033","C006910",1,38
"P00000097","SS00000033","C031240","",262
"P00000098","SS00000034","C014614","",175
"P00000099","SS00000034","C030867","",170
"P00000100","SS00000034","C018084",1,15
"P00000101","SS00000035","C009329","",158
"P00000102","SS00000035","C013636","",98
"P00000103","SS00000035","C028936","",1682
"P00000104","SS00000036","C000282",1,35
"P00000105","SS00000036","C011643","",349
"P00000106","SS00000036","C033582","",2071
"P00000107","SS00000037","C007237","",127
"P00000108","SS00000037","C014877",1,24
"P00000109","SS00000038","C020370",1,22
"P00000110","SS00000038","C009728",1,23
"P00000111","SS00000039","C000530","",1169
"P00000112","SS00000039","C018161","",1427
"P00000113","SS00000040","C008588","",106
"P00000114","SS00000040","C020812",1,28
"P00000115","SS00000041","C019718","",1141
"P00000116","SS00000041","C017085","",1845
"P00000117","SS00000042","C026778","",385
"P00000118","SS00000042","C006807","",238
"P00000119","SS00000042","C004795",1,37
"P00000120","SS00000043","C032024","",114
"P00000121","SS00000043","C007818",1,15
"P00000122","SS00000043","C009474","",1919
"P00000123","SS00000043","C006550","",150
"P00000124","SS00000044","C024586","",421
"P00000125","SS00000044","C000070",1,31
"P00000126","SS00000045","C017997",1,16
"P00000127","SS00000045","C005701","",123
"P00000128","SS00000046","C007118","",1678
"P00000129","SS00000046","C015347",1,22
"P00000130","SS00000047","C031354","",230
"P00000131","SS00000047","C029126","",895
"P00000132","SS00000047","C023539","",194
"P00000133","SS00000048","C015825",1,31
"P00000134","SS00000048","C030219","",154
"P00000135","SS00000048","C014276","",167
"P00000136","SS00000049","C004673",1,23
"P00000137","SS00000049","C002618",1,29
"P00000138","SS00000050","C016358","",1756
"P00000139","SS00000050","C021016",1,11
"P00000140","SS00000050","C000765","",115
"P00000141","SS00000051","C013178","",229
"P00000142","SS00000051","C012720","",254
"P00000143","SS00000052","C023425","",267
"P00000144","SS00000052","C009853","",649
"P00000145","SS00000052","C017281","",205
"P00000146","SS00000053","C020992","",235
"P00000147","SS00000053","C016728","",1585
"P00000148","SS00000054","C022432",1,30
"P00000149","SS00000054","C005528","",1949
"P00000150","SS00000055","C019407","",163
"P00000151","SS00000055","C014144","",116
"P00000152","SS00000056","C008332","",152
"P00000153","SS00000056","C024936","",183
"P00000154","SS00000057","C005166","",184
"P00000155","SS00000057","C004017","",1391
"P00000156","SS00000057","C027801","",177
"P00000157","SS00000057","C023554","",246
"P00000158","SS00000058","C022180","",197
"P00000159","SS00000058","C032397",1,28
"P00000160","SS00000059","C014414","",215
"P00000161","SS00000059","C015386","",285
"P00000162","SS00000060","C023353","",234
"P00000163","SS00000060","C030656",1,39
"P00000164","SS00000060","C031964","",135
"P00000165","SS00000061","C002309","",610
"P00000166","SS00000061","C023761","",158
"P00000167","SS00000062","C014034","",156
"P00000168","SS00000062","C018608","",158
"P00000169","SS00000063","C009244",1,17
"P00000170","SS00000063","C021705",1,41
"P00000171","SS00000063","C019497","",223
"P00000172","SS00000063","C000869","",143
"P00000173","SS00000063","C007336","",207
"P00000174","SS00000064","C015781","",167
"P00000175","SS00000064","C032696","",148
"P00000176","SS00000065","C017827","",151
"P00000177","SS00000065","C008164","",155
"P00000178","SS00000065","C008593","",895
"P00000179","SS00000066","C018936","",214
"P00000180","SS00000066","C021586","",207
"P00000181","SS00000067","C030943","",148
"P00000182","SS00000067","C007616",1,17
"P00000183","SS00000067","C022825","",243
"P00000184","SS00000068","C015209","",261
"P00000185","SS00000068","C030907","",98
"P00000186","SS00000068","C007934","",951
"P00000187","SS00000069","C008587","",574
"P00000188","SS00000069","C017950","",103
"P00000189","SS00000070","C018534","",1501
"P00000190","SS00000070","C023882","",1760
"P00000191","SS00000070","C014040",1,27
"P00000192","SS00000071","C017884","",117
"P00000193","SS00000071","C033107","",117
"P00000194","SS00000071","C014007","",126
"P00000195","SS00000072","C018490",1,17
"P00000196","SS00000072","C005994",1,8
"P00000197","SS00000073","C014939",1,44
"P00000198","SS00000073","C022941",1,25
"P00000199","SS00000073","C021341",1,12
"P00000200","SS00000073","C002672","",376
"P00000201","SS00000074","C026472","",943
"P00000202","SS00000074","C013724","",1167
"P00000203","SS00000074","C027345",1,40
"P00000204","SS00000075","C004519",1,23
"P00000205","SS00000075","C016884","",202
"P00000206","SS00000076","C008520","",231
"P00000207","SS00000076","C002785",1,20
"P00000208","SS00000077","C014715",1,25
"P00000209","SS00000077","C022979","",105
"P00000210","SS00000077","C027802","",177
"P00000211","SS00000078","C015807","",244
"P00000212","SS00000078","C016299","",235
"P00000213","SS00000078","C023316","",180
"P00000214","SS00000079","C030580",1,30
"P00000215","SS00000079","C017391","",681
"P00000216","SS00000080","C021158",1,5
"P00000217","SS00000080","C033456","",218
"P00000218","SS00000081","C002058","",1691
"P00000219","SS00000081","C013218","",214
"P00000220","SS00000082","C015046","",143
"P00000221","SS00000082","C019831","",207
"P00000222","SS00000083","C022962",1,7
"P00000223","SS00000083","C012954","",3151
"P00000224","SS00000084","C008668",1,6
"P00000225","SS00000084","C016464","",108
"P00000226","SS00000084","C027712",1,7
"P00000227","SS00000085","C018848","",1478
"P00000228","SS00000085","C032934",1,15
"P00000229","SS00000085","C032783",1,10
"P00000230","SS00000085","C033725",1,14
"P00000231","SS00000086","C026636","",141
"P00000232","SS00000086","C021049","",914
"P00000233","SS00000086","C032333",1,36
"P00000234","SS00000087","C023181","",124
"P00000235","SS00000087","C002607","",178
"P00000236","SS00000087","C014315","",212
"P00000237","SS00000087","C021718","",116
"P00000238","SS00000088","C000508","",2276
"P00000239","SS00000088","C000602","",1246
"P00000240","SS00000088","C033424","",1115
"P00000241","SS00000088","C009164","",606
"P00000242","SS00000089","C005801","",234
"P00000243","SS00000089","C009331","",187
"P00000244","SS00000089","C030969","",1118
"P00000245","SS00000090","C033665",1,26
"P00000246","SS00000090","C018789","",239
"P00000247","SS00000090","C006293","",252
"P00000248","SS00000091","C007047","",201
"P00000249","SS00000091","C006968","",117
"P00000250","SS00000091","C030200","",148
"P00000251","SS00000091","C000817","",104
"P00000252","SS00000092","C025998","",232
"P00000253","SS00000092","C002692","",150
"P00000254","SS00000093","C026613","",175
"P00000255","SS00000093","C012281",1,34
"P00000256","SS00000094","C013539","",175
"P00000257","SS00000094","C024892","",107
"P00000258","SS00000095","C012519",1,18
"P00000259","SS00000095","C023499","",173
"P00000260","SS00000095","C012965","",212
"P00000261","SS00000096","C014461","",153
"P00000262","SS00000096","C008758",1,43
"P00000263","SS00000096","C009654","",719
"P00000264","SS00000097","C025272","",170
"P00000265","SS00000097","C025873","",102
"P00000266","SS00000097","C018831","",136
"P00000267","SS00000098","C029758","",84
"P00000268","SS00000098","C010181",1,43
"P00000269","SS00000099","C032997",1,42
"P00000270","SS00000099","C019090","",253
"P00000271","SS00000100","C019853","",233
"P00000272","SS00000100","C020289","",1381
"P00000273","SS00000100","C025246","",232
"P00000274","SS00000101","C029894","",137
"P00000275","SS00000101","C005403","",159
"P00000276","SS00000101","C006556","",1809
"P00000277","SS00000102","C018029","",137
"P00000278","SS00000102","C019245","",1674
"P00000279","SS00000102","C014736",1,37
"P00000280","SS00000103","C021660","",150
"P00000281","SS00000103","C017660","",2165
"P00000282","SS00000104","C003005",1,21
"P00000283","SS00000104","C021693","",1097
"P00000284","SS00000104","C003591","",148
"P00000285","SS00000105","C023782","",279
"P00000286","SS00000105","C009736",1,43
"P00000287","SS00000105","C021368",1,11
"P00000288","SS00000105","C017665","",133
"P00000289","SS00000106","C001862","",135
"P00000290","SS00000106","C010003","",166
"P00000291","SS00000106","C000936",1,26
"P00000292","SS00000107","C021838","",182
"P00000293","SS00000107","C023527","",107
"P00000294","SS00000108","C031883",1,29
"P00000295","SS00000108","C033277","",223
"P00000296","SS00000109","C023718",1,19
"P00000297","SS00000109","C027231","",106
"P00000298","SS00000110","C028324",1,17
"P00000299","SS00000110","C015423","",171
"P00000300","SS00000110","C026616","",104
"P00000301","SS00000110","C025307","",169
"P00000302","SS00000110","C012532","",130
"P00000303","SS00000111","C027037","",1711
"P00000304","SS00000111","C033659",1,15
"P00000305","SS00000112","C012807",1,10
"P00000306","SS00000112","C010813","",144
"P00000307","SS00000113","C005713","",1246
"P00000308","SS00000113","C009755",1,12
"P00000309","SS00000114","C024956",1,44
"P00000310","SS00000114","C031390","",145
"P00000311","SS00000114","C022273","",1262
"P00000312","SS00000114","C010937","",3368
"P00000313","SS00000115","C022790",1,5
"P00000314","SS00000115","C010795","",152
"P00000315","SS00000115","C033280","",149
"P00000316","SS00000115","C014250","",128
"P00000317","SS00000116","C025236",1,18
"P00000318","SS00000116","C004106","",1252
"P00000319","SS00000116","C016403",1,8
"P00000320","SS00000116","C025435","",109
"P00000321","SS00000117","C012592","",1372
"P00000322","SS00000117","C022241",1,39
"P00000323","SS00000117","C007298",1,33
"P00000324","SS00000118","C011659","",161
"P00000325","SS00000118","C015453","",871
"P00000326","SS00000118","C025259",1,29
"P00000327","SS00000118","C018599",1,16
"P00000328","SS00000119","C033240",1,6
"P00000329","SS00000119","C013255",1,17
"P00000330","SS00000119","C032337","",1697
"P00000331","SS00000120","C003052","",236
"P00000332","SS00000120","C023229","",244
"P00000333","SS00000121","C018054",1,17
"P00000334","SS00000121","C017858","",132
"P00000335","SS00000121","C009462",1,5
"P00000336","SS00000121","C031384","",328
"P00000337","SS00000121","C000286","",155
"P00000338","SS00000122","C012452","",124
"P00000339","SS00000122","C002158","",254
"P00000340","SS00000122","C022644","",411
"P00000341","SS00000122","C010696","",1353
"P00000342","SS00000123","C032926","",198
"P00000343","SS00000123","C030872","",194
"P00000344","SS00000123","C006290","",209
"P00000345","SS00000123","C025933","",238
"P00000346","SS00000124","C015551",1,42
"P00000347","SS00000124","C001825","",146
"P00000348","SS00000124","C000247",1,31
"P00000349","SS00000125","C022789","",223
"P00000350","SS00000125","C001791","",142
"P00000351","SS00000125","C001709","",127
"P00000352","SS00000126","C026881","",200
"P00000353","SS00000126","C012299","",1085
"P00000354","SS00000127","C002623",1,23
"P00000355","SS00000127","C005864","",434
"P00000356","SS00000127","C025852","",1801
"P00000357","SS00000128","C016521","",1899
"P00000358","SS00000128","C024102","",521
"P00000359","SS00000128","C022269","",147
"P00000360","SS00000129","C009236","",229
"P00000361","SS00000129","C029706","",207
"P00000362","SS00000129","C000194","",126
"P00000363","SS00000129","C008481","",91
"P00000364","SS00000130","C020715","",231
"P00000365","SS00000130","C010511","",180
"P00000366","SS00000130","C028841","",132
"P00000367","SS00000131","C020674","",153
"P00000368","SS00000131","C027380","",275
"P00000369","SS00000131","C017543","",610
"P00000370","SS00000131","C031543","",161
"P00000371","SS00000132","C015468","",1336
"P00000372","SS00000132","C003567",1,39
"P00000373","SS00000132","C024276",1,42
"P00000374","SS00000132","C008478","",238
"P00000375","SS00000133","C019550","",1483
"P00000376","SS00000133","C016949","",116
"P00000377","SS00000133","C029933","",121
"P00000378","SS00000134","C029047","",180
"P00000379","SS00000134","C031639",1,42
"P00000380","SS00000134","C011987",1,39
"P00000381","SS00000135","C015104","",258
"P00000382","SS00000135","C033447","",132
"P00000383","SS00000136","C014802","",1763
"P00000384","SS00000136","C031957","",168
"P00000385","SS00000136","C026338","",179
"P00000386","SS00000137","C006749","",229
"P00000387","SS00000137","C022395",1,11
"P00000388","SS00000138","C001185",1,32
"P00000389","SS00000138","C026802",1,28
"P00000390","SS00000139","C020645","",1739
"P00000391","SS00000139","C029730",1,17
"P00000392","SS00000139","C027931","",752
"P00000393","SS00000139","C019035","",109
"P00000394","SS00000140","C012258","",226
"P00000395","SS00000140","C018759","",194
"P00000396","SS00000140","C011901","",256
"P00000397","SS00000141","C018939","",1677
"P00000398","SS00000141","C012761","",113
"P00000399","SS00000141","C014625","",140
"P00000400","SS00000142","C002049",1,18
"P00000401","SS00000142","C006226","",314
"P00000402","SS00000142","C003452",1,6
"P00000403","SS00000143","C032926",1,35
"P00000404","SS00000143","C003154","",192
"P00000405","SS00000144","C033714","",274
"P00000406","SS00000144","C012160","",1293
"P00000407","SS00000144","C030355","",778
"P00000408","SS00000145","C028985","",209
"P00000409","SS00000145","C017215",1,39
"P00000410","SS00000146","C021279","",1391
"P00000411","SS00000146","C005160","",892
"P00000412","SS00000146","C027664","",218
"P00000413","SS00000147","C009956","",111
"P00000414","SS00000147","C027917","",1532
"P00000415","SS00000147","C015095","",228
"P00000416","SS00000148","C024372","",1557
"P00000417","SS00000148","C005302","",251
"P00000418","SS00000148","C002791","",163
"P00000419","SS00000149","C004454","",150
"P00000420","SS00000149","C017453",1,5
"P00000421","SS00000149","C012153","",2594
"P00000422","SS00000150","C021075","",266
"P00000423","SS00000150","C006987","",114
"P00000424","SS00000150","C024399",1,16
"P00000425","SS00000151","C001831","",1341
"P00000426","SS00000151","C032718","",1398
"P00000427","SS00000151","C003889","",141
"P00000428","SS00000151","C007541","",192
"P00000429","SS00000151","C006284","",1705
"P00000430","SS00000152","C022238","",163
"P00000431","SS00000152","C023179","",167
"P00000432","SS00000153","C013537","",1372
"P00000433","SS00000153","C032411",1,20
"P00000434","SS00000154","C029539","",215
"P00000435","SS00000154","C005148","",100
"P00000436","SS00000155","C023023","",177
"P00000437","SS00000155","C026683","",281
"P00000438","SS00000155","C027364","",1607
"P00000439","SS00000156","C005310","",95
"P00000440","SS00000156","C024963","",203
"P00000441","SS00000156","C024387","",152
"P00000442","SS00000156","C018727","",151
"P00000443","SS00000157","C012327","",204
"P00000444","SS00000157","C019285","",989
"P00000445","SS00000157","C011461",1,9
"P00000446","SS00000158","C000957","",1849
"P00000447","SS00000158","C001741","",174
"P00000448","SS00000159","C007241","",1462
"P00000449","SS00000159","C016423","",185
"P00000450","SS00000159","C024279",1,41
"P00000451","SS00000159","C033380",1,6
"P00000452","SS00000160","C001532","",537
"P00000453","SS00000160","C003652","",393
"P00000454","SS00000161","C015925","",110
"P00000455","SS00000161","C024516","",258
"P00000456","SS00000161","C030858","",132
"P00000457","SS00000162","C032679","",102
"P00000458","SS00000162","C020153",1,28
"P00000459","SS00000162","C023892","",141
"P00000460","SS00000163","C029392",1,23
"P00000461","SS00000163","C008962","",147
"P00000462","SS00000164","C001470","",2056
"P00000463","SS00000164","C006714","",214
"P00000464","SS00000165","C007814","",252
"P00000465","SS00000165","C013234","",191
"P00000466","SS00000165","C031286","",446
"P00000467","SS00000166","C020975",1,17
"P00000468","SS00000166","C004200","",206
"P00000469","SS00000166","C030848","",1868
"P00000470","SS00000167","C027360","",130
"P00000471","SS00000167","C016028",1,39
"P00000472","SS00000168","C001091","",188
"P00000473","SS00000168","C001960","",173
"P00000474","SS00000169","C015909","",127
"P00000475","SS00000169","C008258",1,18
"P00000476","SS00000169","C008032","",192
"P00000477","SS00000170","C033632",1,40
"P00000478","SS00000170","C028743","",122
"P00000479","SS00000170","C019889","",232
"P00000480","SS00000171","C005265","",111
"P00000481","SS00000171","C033642","",105
"P00000482","SS00000172","C022110","",187
"P00000483","SS00000172","C010369",1,29
"P00000484","SS00000173","C007120","",203
"P00000485","SS00000173","C030492",1,11
"P00000486","SS00000173","C014846",1,17
"P00000487","SS00000174","C014920","",186
"P00000488","SS00000174","C029889","",178
"P00000489","SS00000175","C013039",1,6
"P00000490","SS00000175","C027097","",1749
"P00000491","SS00000176","C028687","",128
"P00000492","SS00000176","C028413","",152
"P00000493","SS00000176","C007204","",246
"P00000494","SS00000177","C009583","",85
"P00000495","SS00000177","C005998","",123
"P00000496","SS00000178","C009139","",232
"P00000497","SS00000178","C032148","",235
"P00000498","SS00000178","C015402","",1274
"P00000499","SS00000179","C016726",1,9
"P00000500","SS00000179","C008483",1,34
"P00000501","SS00000180","C030996",1,36
"P00000502","SS00000180","C029201",1,17
"P00000503","SS00000180","C008297","",115
"P00000504","SS00000181","C013224","",169
"P00000505","SS00000181","C007866","",574
"P00000506","SS00000182","C004856","",99
"P00000507","SS00000182","C014269","",95
"P00000508","SS00000182","C002334","",273
"P00000509","SS00000183","C014476",1,21
"P00000510","SS00000183","C000968","",177
"P00000511","SS00000184","C018056","",241
"P00000512","SS00000184","C009956","",107
"P00000513","SS00000184","C019156","",1163
"P00000514","SS00000184","C005738","",142
"P00000515","SS00000185","C032200","",206
"P00000516","SS00000185","C027312","",222
"P00000517","SS00000186","C023257","",1443
"P00000518","SS00000186","C023972","",106
"P00000519","SS00000186","C000439","",119
"P00000520","SS00000186","C002020","",456
"P00000521","SS00000186","C014407","",197
"P00000522","SS00000187","C012742","",156
"P00000523","SS00000187","C000962","",1561
"P00000524","SS00000187","C002871","",203
"P00000525","SS00000188","C028595","",116
"P00000526","SS00000188","C024638","",179
"P00000527","SS00000188","C027518","",169
"P00000528","SS00000189","C006578","",776
"P00000529","SS00000189","C033472","",709
"P00000530","SS00000189","C031269","",767
"P00000531","SS00000189","C020497","",135
"P00000532","SS00000190","C031894",1,23
"P00000533","SS00000190","C018037","",196
"P00000534","SS00000190","C018985","",143
"P00000535","SS00000191","C012685","",1152
"P00000536","SS00000191","C015985",1,25
"P00000537","SS00000191","C018067","",249
"P00000538","SS00000192","C030395",1,31
"P00000539","SS00000192","C009966",1,6
"P00000540","SS00000193","C032323","",205
"P00000541","SS00000193","C028096",1,27
"P00000542","SS00000193","C015541","",108
"P00000543","SS00000194","C005515","",217
"P00000544","SS00000194","C031518","",169
"P00000545","SS00000195","C009222",1,31
"P00000546","SS00000195","C009070","",120
"P00000547","SS00000196","C021901","",245
"P00000548","SS00000196","C005191",1,13
"P00000549","SS00000197","C019925","",160
"P00000550","SS00000197","C022775","",121
"P00000551","SS00000198","C019963","",156
"P00000552","SS00000198","C019656",1,22
"P00000553","SS00000198","C013511",1,17
"P00000554","SS00000198","C003505","",344
"P00000555","SS00000198","C014565","",1251
"P00000556","SS00000199","C003772","",120
"P00000557","SS00000199","C000184","",200
"P00000558","SS00000200","C026992",1,16
"P00000559","SS00000200","C029084","",1326
"P00000560","SS00000200","C010318",1,42
"P00000561","SS00000201","C009332","",2000
"P00000562","SS00000201","C010256","",814
"P00000563","SS00000201","C026160",1,18
"P00000564","SS00000202","C005575","",128
"P00000565","SS00000202","C030489",1,41
"P00000566","SS00000202","C029884","",118
"P00000567","SS00000203","C010182","",232
"P00000568","SS00000203","C008009",1,34
"P00000569","SS00000203","C004354","",107
"P00000570","SS00000204","C004674",1,15
"P00000571","SS00000204","C021504",1,23
"P00000572","SS00000205","C021902",1,40
"P00000573","SS00000205","C032363","",2326
"P00000574","SS00000205","C000946","",832
"P00000575","SS00000205","C021777","",108
"P00000576","SS00000206","C009618","",219
"P00000577","SS00000206","C005099","",155
"P00000578","SS00000206","C011601","",171
"P00000579","SS00000207","C000917",1,23
"P00000580","SS00000207","C009398","",528
"P00000581","SS00000208","C007557","",166
"P00000582","SS00000208","C009681","",215
"P00000583","SS00000209","C016701","",128
"P00000584","SS00000209","C029131","",160
"P00000585","SS00000209","C030457","",1897
"P00000586","SS00000209","C015384",1,44
"P00000587","SS00000210","C023329","",1594
"P00000588","SS00000210","C022532","",214
"P00000589","SS00000210","C026312",1,18
"P00000590","SS00000210","C022374",1,9
"P00000591","SS00000211","C028735",1,26
"P00000592","SS00000211","C019285","",819
"P00000593","SS00000212","C013280","",116
"P00000594","SS00000212","C015105","",184
"P00000595","SS00000212","C030968","",97
"P00000596","SS00000213","C006983",1,28
"P00000597","SS00000213","C008622","",197
"P00000598","SS00000213","C031276","",476
"P00000599","SS00000213","C020877",1,35
"P00000600","SS00000214","C014839","",284
"P00000601","SS00000214","C007681",1,33
"P00000602","SS00000215","C008456","",218
"P00000603","SS00000215","C031071",1,29
"P00000604","SS00000216","C004106","",1869
"P00000605","SS00000216","C017121","",257
"P00000606","SS00000217","C008563","",137
"P00000607","SS00000217","C020906","",170
"P00000608","SS00000218","C028447",1,21
"P00000609","SS00000218","C014746",1,27
"P00000610","SS00000218","C032521","",199
"P00000611","SS00000219","C019050","",634
"P00000612","SS00000219","C027107","",1494
"P00000613","SS00000219","C016435",1,18
"P00000614","SS00000219","C030763","",334
"P00000615","SS00000220","C020007","",130
"P00000616","SS00000220","C003202","",140
"P00000617","SS00000220","C016136","",185
"P00000618","SS00000221","C012876",1,22
"P00000619","SS00000221","C005720","",338
"P00000620","SS00000221","C016816",1,25
"P00000621","SS00000222","C022414",1,35
"P00000622","SS00000222","C019844","",3131
"P00000623","SS00000222","C019229",1,32
"P00000624","SS00000222","C006606","",244
"P00000625","SS00000223","C021424","",232
"P00000626","SS00000223","C010586",1,38
"P00000627","SS00000223","C032059",1,32
"P00000628","SS00000223","C011391",1,30
"P00000629","SS00000224","C019236","",200
"P00000630","SS00000224","C003563",1,38
"P00000631","SS00000224","C030958","",1247
"P00000632","SS00000224","C032656","",143
"P00000633","SS00000224","C019771","",1971
"P00000634","SS00000225","C008792","",2170
"P00000635","SS00000225","C025808","",502
"P00000636","SS00000226","C006789","",202
"P00000637","SS00000226","C032374","",132
"P00000638","SS00000226","C023560","",117
"P00000639","SS00000227","C031226","",1897
"P00000640","SS00000227","C033424","",460
"P00000641","SS00000227","C016693",1,27
"P00000642","SS00000227","C003833","",534
"P00000643","SS00000228","C000742","",233
"P00000644","SS00000228","C008360","",234
"P00000645","SS00000228","C011764","",142
"P00000646","SS00000229","C030520","",694
"P00000647","SS00000229","C031747",1,36
"P00000648","SS00000230","C021086","",571
"P00000649","SS00000230","C006217","",244
"P00000650","SS00000231","C008335","",173
"P00000651","SS00000231","C013847","",1323
"P00000652","SS00000231","C032825",1,21
"P00000653","SS00000232","C010254","",245
"P00000654","SS00000232","C002248",1,29
"P00000655","SS00000232","C009889","",789
"P00000656","SS00000232","C007786","",162
"P00000657","SS00000232","C006582","",149
"P00000658","SS00000233","C026367",1,8
"P00000659","SS00000233","C012109",1,22
"P00000660","SS00000234","C013603","",137
"P00000661","SS00000234","C018278","",1847
"P00000662","SS00000234","C023413",1,13
"P00000663","SS00000235","C019309",1,14
"P00000664","SS00000235","C016294",1,41
"P00000665","SS00000235","C002435","",149
"P00000666","SS00000235","C014481","",1450
"P00000667","SS00000235","C013988",1,10
"P00000668","SS00000236","C020166","",121
"P00000669","SS00000236","C023734",1,12
"P00000670","SS00000237","C024454",1,9
"P00000671","SS00000237","C023636","",1851
"P00000672","SS00000238","C010970",1,43
"P00000673","SS00000238","C011681","",1072
"P00000674","SS00000239","C015715","",1792
"P00000675","SS00000239","C007044",1,23
"P00000676","SS00000240","C031255","",1721
"P00000677","SS00000240","C000057","",197
"P00000678","SS00000241","C021329","",199
"P00000679","SS00000241","C028847","",959
"P00000680","SS00000241","C013688",1,44
"P00000681","SS00000242","C000673",1,23
"P00000682","SS00000242","C019770","",242
"P00000683","SS00000242","C010830","",907
"P00000684","SS00000242","C033105",1,19
"P00000685","SS00000242","C010981","",215
"P00000686","SS00000243","C024586","",1211
"P00000687","SS00000243","C007427","",116
"P00000688","SS00000244","C008649",1,22
"P00000689","SS00000244","C019365",1,23
"P00000690","SS00000244","C005267","",1103
"P00000691","SS00000245","C016878",1,28
"P00000692","SS00000245","C020170","",282
"P00000693","SS00000246","C002189",1,21
"P00000694","SS00000246","C007081","",889
"P00000695","SS00000246","C006242",1,27
"P00000696","SS00000246","C019902","",1379
"P00000697","SS00000247","C021086","",1711
"P00000698","SS00000247","C009271","",2792
"P00000699","SS00000247","C024648","",452
"P00000700","SS00000248","C023538","",179
"P00000701","SS00000248","C031463","",239
"P00000702","SS00000248","C020136","",1251
"P00000703","SS00000248","C033677","",163
"P00000704","SS00000249","C016249","",1651
"P00000705","SS00000249","C024152",1,44
"P00000706","SS00000249","C001841","",205
"P00000707","SS00000250","C004362","",139
"P00000708","SS00000250","C006456",1,26
"P00000709","SS00000250","C009416","",1024
"P00000710","SS00000251","C015785","",173
"P00000711","SS00000251","C009555",1,19
"P00000712","SS00000251","C017461","",124
"P00000713","SS00000251","C020318","",139
"P00000714","SS00000252","C008548","",2049
"P00000715","SS00000252","C005582","",285
"P00000716","SS00000253","C020166",1,19
"P00000717","SS00000253","C032768","",199
"P00000718","SS00000253","C005397","",128
